"id","category","difficulty","user_input","response","reference","bert_f1","bert_precision","bert_recall","prompt_tokens","completion_tokens","total_tokens"
"1","Allgemein","medium","Inwiefern würde ich als Student von einem Studium an der WiSo-Fakultät profitieren?","Als Student von einem Studium an der WiSo-Fakultät der Universität zu Köln, profitieren Sie von einer Vielzahl von Vorteilen:  *   Einzigartige Fächervielfalt: Die WiSo-Fakultät bietet ein umfangreiches Spektrum an Fächern, sodass Sie je nach Interesse und Fähigkeiten wählen können. *   Spitzenforschung: Die Fakultät ist bekannt für ihre exzellente Forschung und bietet Ihnen die Möglichkeit, sich mit den neuesten Entwicklungen in Ihrem Bereich auseinanderzusetzen. *   Praxisbezug: Die WiSo-Fakultät legt großen Wert auf die Verbindung von Theorie und Praxis. Sie werden daher nicht nur theoretische Kenntnisse erwerben, sondern auch die Möglichkeit haben, diese in der Praxis anzuwenden. *   Internationalität: Die Universität zu Köln ist eine internationale Institution mit einer Vielzahl von internationalen Studierenden und Forschern. Dies bietet Ihnen die Chance, sich mit anderen Kulturen und Perspektiven auseinanderzusetzen. *   Interdisziplinärer Ansatz: Die WiSo-Fakultät verbindet verschiedene Disziplinen wie Wirtschaftswissenschaften, Sozialwissenschaften und Rechtswissenschaften. Dies ermöglicht es Ihnen, ein umfassendes Verständnis Ihrer Fachgebiete zu erwerben. *   Ausbildung an einer renommierten Fakultät: Die WiSo-Fakultät der Universität zu Köln ist eine der renommiertesten Fakultäten für Wirtschafts- und Sozialwissenschaften in Europa. Dies bietet Ihnen die Chance, sich mit anderen hochqualifizierten Studierenden auseinanderzusetzen und von den besten Lehrenden und Forschern lernen.  Insgesamt bietet das Studium an der WiSo-Fakultät der Universität zu Köln eine hervorragende Ausbildung, die Sie für Ihre weitere Karriere vorbereitet.","Als Student profitierst du von einem theorie- und methodenorientierten Studienansatz, in dem Forschung und Lehre eng mit der Praxis verzahnt sind, sowie von der ausgeprägten Praxisnähe durch die langjährige Zusammenarbeit der WiSo-Fakultät mit Unternehmen und Lehrbeauftragten aus verschiedenen Berufsfeldern.","0.1530648022890091","-0.0019358535064384341","0.31350311636924744","0.0","0.0","0.0"
"2","Allgemein","easy","Welche Kosten fallen für reguläre Studienprogramme der WiSo-Fakultät an?","Die Kosten für reguläre Studienprogramme an der WiSo-Fakultät der Universität zu Köln variieren je nach Studiengang und Art der Einschreibung.  Für die meisten Bachelor- und Masterstudiengänge an der WiSo-Fakultät fallen keine Studiengebühren an, da die Universität zu Köln eine staatliche Hochschule ist. Die Studierenden müssen jedoch einen Semesterbeitrag leisten, der derzeit bei etwa 300 Euro pro Semester liegt.  Es gibt jedoch einige Ausnahmen:  * Für das Bachelor-Studiengang ""Business Administration"" fallen zusätzliche Kosten für die Zertifizierung durch den ""Association to Advance Collegiate Schools of Business (AACSB)"" an. * Für das Master-Studiengang ""Master of Science in Marketing"" fallen zusätzliche Kosten für die Teilnahme am ""International Marketing Program"" an.  Es ist auch wichtig zu beachten, dass einige Studiengänge oder Module Gebühren für bestimmte Aktivitäten oder Materialien erheben können. Es ist ratsam, sich vor der Einschreibung über die genauen Kosten und Bedingungen zu informieren.  Zusätzlich gibt es Möglichkeiten, Studiengebühren an anderen Universitäten im Rahmen von Austauschprogrammen (WiSo@Lisbon) oder Kurzprogrammen (WiSo@) zu reduzieren oder umfassend zu übernehmen.","Für die regulären Studienprogramme fällt nur der halbjährliche Semesterbeitrag an, der bereits das Semesterticket für den öffentlichen Nahverkehr in ganz Nordrhein-Westfalen umfasst.","0.09242907911539078","-0.12098676711320877","0.32001209259033203","0.0","0.0","0.0"
"3","Allgemein","medium","Wie wird die Qualität der WiSo-Absolvent:innen in Rankings und durch Arbeitgebereinschätzungen beschrieben?","Die Qualität der WiSo-Absolvent:innen wird in Rankings und durch Arbeitgeberbewertungen wie folgt beschrieben:  * Im Financial Times European Business Schools 2024 Ranking erreicht die WiSo-Fakultät den 65. Rang von 100 im internationalen Vergleich und Platz 7 in Deutschland. * In der Personaler-Ranking der Wirtschaftswoche 2020 wird die Universität zu Köln als Top-Ausbildungsstätte für BWL, VWL und Wirtschaftsinformatik geführt.  Diese Ergebnisse zeigen, dass die WiSo-Absolvent:innen in den Augen von Arbeitgebern und Rankings eine hohe Qualität aufweisen.","Die Qualität der WiSo-Absolvent:innen wird dadurch hervorgehoben, dass mehrere DAX40-Vorstände an der Universität zu Köln studiert haben, sie laut dem aktuellen Ranking des Wirtschaftsmagazins „Wirtschaftswoche“ bei der Einstellung durch Personaler bevorzugt werden und die Fakultät im „Careers Rank“ des Financial Times Masters in Management Ranking eine deutschlandweite Spitzenposition einnimmt.","0.3195755183696747","0.2946966290473938","0.3416234254837036","0.0","0.0","0.0"
"4","Allgemein","medium","Wie ist die internationale Ausrichtung der WiSo-Fakultät beschrieben?","Die internationale Ausrichtung der WiSo-Fakultät ist durch eine Vielzahl von Angeboten gekennzeichnet, die es Studierenden ermöglichen, sich auf ein internationales und interkulturelles Umfeld vorzubereiten. Einige dieser Angebote sind:  *   Die Möglichkeit, Kurse in englischer Sprache zu belegen *   Das Auslandssemester-Programm, das es Studierenden ermöglicht, ein Semester an einer renommierten Partnerhochschule im Ausland zu verbringen *   Die Mitgliedschaft der WiSo-Fakultät in Netzwerken internationaler Universitäten  Diese Angebote tragen dazu bei, dass die WiSo-Fakultät sich auf eine internationale und interkulturelle Umgebung vorbereiten kann.","Die WiSo-Fakultät ist einziges deutsches Mitglied im CEMS-Netzwerk und bietet gemeinsam mit Partnern den Master in International Management (CEMS MIM) an. Viele Studienprogramme enthalten einen hohen Anteil englischsprachiger Module und nahezu alle Masterprogramme können vollständig auf Englisch studiert werden. Zudem bestehen Partnerschaften mit über 130 Hochschulen für Auslandssemester.","0.20533744990825653","0.18064294755458832","0.22669106721878052","0.0","0.0","0.0"
"5","Allgemein","easy","Welches Ziel verfolgen die Lehrinnovationen an der WiSo-Fakultät?","Die Lehrinnovationen an der Wirtschafts- und Sozialwissenschaftlichen Fakultät (WiSo) verfolgen das Ziel, die Lehre zu verbessern und sie an die Bedürfnisse der Studierenden anzupassen. Dazu gehören:  * Die Förderung von Forschungsorientierung in der Lehre * Die Entwicklung neuer Lehrkonzepte und -methoden * Die Verbesserung der Lehrequalität durch innovative Ideen und Projekte  Die WiSo-Fakultät möchte durch ihre Lehrinnovationen die Relevanz und Wettbewerbsfähigkeit des Studienangebots steigern, den Studienerfolg sicherstellen und die internationale Ausrichtung stärken. Außerdem soll der Transfer von Forschungsergebnissen in die Praxis gefördert werden.  Die Lehrinnovationen zielen darauf ab, die Studierenden auf die Herausforderungen der Zukunft vorzubereiten und sie zu befähigen, Lösungen für komplexe Probleme zu finden. Durch die Förderung von Forschungsorientierung in der Lehre sollen die Studierenden in der Lage sein, wissenschaftliche Ansätze zur Lösung von Problemen in der Praxis anzuwenden.  Insgesamt zielt die WiSo-Fakultät mit ihren Lehrinnovationen darauf ab, eine hochwertige und innovative Lehre anzubieten, die den Bedürfnissen der Studierenden entspricht.","Mit den Lehrinnovationen möchte die WiSo-Fakultät ihre Lehre weiterentwickeln, indem sie neue Formen und Ansätze im Unterricht ausprobiert, um die Qualität der Lehrveranstaltungen zu steigern. Die Projekte können dabei inhaltlich sehr unterschiedlich sein, solange sie einen klaren Bezug zur Lehre haben.","0.26283496618270874","0.14871619641780853","0.3784528076648712","0.0","0.0","0.0"
"6","Allgemein","medium","Worum geht es beim Lehrprojekt E-PLUS?","Das Lehrprojekt E-PLUS ist ein Teil des Master of Science Programms an der Universität zu Köln. Es handelt sich um ein Projekt, das von Univ.-Prof. Dr. Christoph Rosenkranz geleitet wird und in einem projekt-basierten Stil durchgeführt wird. Die Studierenden entwickeln Anwendungsszenarien und/oder Prototypen für neue E-Plus-Anwendungen.  Es ist wichtig zu beachten, dass die genauen Details des Lehrprojekts E-PLUS je nach Semester und Programm variieren können. Ich empfehle Ihnen, sich direkt an die Studienberatung der Universität zu wenden, um die aktuellsten Informationen zu erhalten.","Beim Lehrprojekt E-PLUS entwickeln Studierende während des Semesters eigene Übungsaufgaben und Lösungsvorschläge zum Vorlesungsstoff, bewerten diese gegenseitig in einem Peer-Review-Verfahren über die E-Learning-Plattform ILIAS und erhalten individuelles Feedback. Dadurch entsteht ein individualisierter, aktiver Lernprozess mit einem großen Aufgabenpool, der sie beim Üben und beim Vertiefen der Inhalte unterstützt und so den Lernerfolg verbessert.","0.1652679443359375","0.12016569823026657","0.20735430717468262","0.0","0.0","0.0"
"7","Allgemein","medium","Wie wird E-PLUS organisiert?","Die Organisation von E-PLUS ist wie folgt:  E-PLUS ist ein Modul im Rahmen des Master-Studiengangs Business Administration an der Universität zu Köln. Es gibt verschiedene Schwerpunktbereiche und Ergänzungsbereiche, die als Teil von E-PLUS angeboten werden.  Einige Beispiele für diese Bereiche sind:  * Accounting and Taxation * Corporate Development * Information Systems * Business Analytics & Econometrics  Diese Bereiche können je nach Interesse und Zielsetzung des Studierenden ausgewählt werden. Es ist wichtig zu beachten, dass die Organisation von E-PLUS sich an die PO 2015 (bis WiSe 2020/21) oder PO 2021 (ab SoSe 2021) richtet.  Wenn du weitere Informationen benötigst oder spezifische Fragen hast, stehe ich gerne zur Verfügung.","E-PLUS wird vollständig über die E-Learning-Plattform ILIAS organisiert. Dort werden die von den Studierenden erstellten Aufgaben bereitgestellt, im Peer-Review-Verfahren gegenseitig bewertet und offene Fragen in einem eigenen Wiki geklärt.","0.09366889297962189","0.006752123590558767","0.17933222651481628","0.0","0.0","0.0"
"8","Allgemein","hard","Welchen Vorteil bietet das Projekt E-PLUS?","Das Projekt E-PLUS bietet verschiedene Vorteile, darunter:  * Die Möglichkeit, soziale Entwicklungen zu analysieren und alternative Lösungen zu entwickeln. * Die Fähigkeit, realistische Projektpläne und -umsetzungen zu erstellen, einschließlich agiler oder help-basierter Projektmanagement-Systeme. * Die Anwendung von ""Real Options Thinking"" zur Bestimmung des Wertes unsicherer Projekte. * Die Empfehlung von Projektansätzen, die mit Unsicherheit, Komplexität und menschlichem Verhalten umgehen können, während die vielfältigen Ziele der Projektbeteiligten berücksichtigt werden.  Diese Vorteile sollen den Studierenden helfen, fundierte Entscheidungen zu treffen und effektive Projektleitung zu übernehmen.","Das Projekt E-PLUS bietet den Vorteil, dass durch die von den Studierenden selbst eingebrachten, individuellen Aufgaben ein breit gefächerter Aufgabenpool entsteht, aus dem viele verschieden aufgebaute E-Probe-Klausuren zum intensiven Üben generiert werden können. Die Studierenden erhalten zu ihren Bearbeitungen direktes Feedback, können ihren Lernstand dadurch gezielt reflektieren und anpassen und Lehrende erkennen typische Schwachstellen, die sie in der Präsenzveranstaltung noch einmal aufgreifen. Gleichzeitig werden die eigentlichen Klausuren als individualisierte E-Prüfungen angeboten, die zeitlich sehr flexibel abgelegt werden können, sodass sich die Klausurtermine entzerren und der Prüfungsbetrieb organisatorisch wie administrativ entlastet wird.","0.1404632031917572","0.17078641057014465","0.10671642422676086","0.0","0.0","0.0"
"9","Modulhandbuch/PO","easy","Welche Art von Dokumenten finden Studierende allgemein bezüglich Modulhandbücher und Prüfungsordnungen?","Studierende finden allgemein folgende Arten von Dokumenten bezüglich Modulhandbücher und Prüfungsordnungen:  1. **Modulhandbücher**: Diese enthalten Informationen über das Modul, wie Lernziele, Lehr- und Lernformen, Voraussetzungen und die Art der Abschlussprüfung. 2. **Prüfungsordnungen**: Hier finden Sie detaillierte Informationen über die Prüfungsanforderungen, einschließlich der Inhalte, der Bewertungskriterien und der Modalitäten für die Durchführung von Prüfungen.  Diese Dokumente sind in der Regel auf der Website der Universität oder im Studienfachbüro erhältlich. Es ist ratsam, sich regelmäßig über neue Informationen zu informieren, um sicherzustellen, dass Sie alle notwendigen Unterlagen haben.","Hierfür gibt es zentrale Dokumente zur Orientierung und Organisation des Studiums. Diese umfassen Modulhandbücher der aktuellen Prüfungsordnung PO 2021 für alle Bachelor- und Masterprogramme sowie Verweise auf die zugehörigen Prüfungsordnungen und ein Modulhandbuch-Archiv für frühere Jahrgänge.","0.20329366624355316","0.13055849075317383","0.2743724584579468","0.0","0.0","0.0"
"10","Modulhandbuch/PO","easy","Für welche Studierendengruppe gelten die Dokumente im Rahmen der Bachelor PO 2021?","Die Dokumente im Rahmen der Bachelor PO 2021 gelten für Studierende, die ab dem Wintersemester 2021/22 eingeschrieben sind.","Die Dokumente sind gültig für Studierende der Prüfungsordnung 2021, die sich ab dem Wintersemester 2021/22 in einen entsprechenden Bachelorstudiengang eingeschrieben haben.","0.6901887059211731","0.7365870475769043","0.6431659460067749","0.0","0.0","0.0"
